# psi iota logL logPrior
1.973515292001194688e+00 1.433433082092203881e+00 3.506737754991111444e+01 -1.847341215914436452e+00
1.876246835094899756e+00 1.468893985837107952e+00 3.523589565787133893e+01 -1.843078120688859123e+00
5.553315153733960896e-01 1.645568475076368609e+00 3.524241185693534106e+01 -1.840675112201613173e+00
5.494342876750515359e-01 1.660240937199133571e+00 3.533012967176869523e+01 -1.841882580765907829e+00
4.474551563196732529e-01 1.743221034988893692e+00 3.539662729320542667e+01 -1.852816453153206755e+00
3.703445245072888858e-01 1.744618913773880786e+00 3.550889538045152705e+01 -1.853060906194139656e+00
5.637461858782351065e-01 1.625027457768599248e+00 3.572100430410592509e+01 -1.839348295556208379e+00
2.049828367062512591e+00 1.446219339505996349e+00 3.586783718068126348e+01 -1.845656933795953414e+00
3.526654972932450338e-01 1.742769299536225169e+00 3.619160772492623579e+01 -1.852737886729141525e+00
1.987464884155490497e+00 1.428122275278769004e+00 3.630238202623499433e+01 -1.848089727672335147e+00
3.041148199150027764e-01 1.462812476110631144e+00 3.648220632364041904e+01 -1.843718688399440753e+00
5.586568880596591846e-01 1.523652107550099277e+00 3.677139575839989050e+01 -1.838988767011787928e+00
2.100649557973969461e+00 1.701022777014611131e+00 3.679517934831171289e+01 -1.846380606631423227e+00
1.850719718972646533e+00 1.483698480778444573e+00 3.682906199576306960e+01 -1.841674889183747998e+00
1.907952276202026898e+00 1.440885748688209178e+00 3.683387518684781270e+01 -1.846339288346368068e+00
2.910376798871228132e-01 1.469434527545568914e+00 3.724932553607267494e+01 -1.843022994382572666e+00
4.015084249344814671e-01 1.756866179962265351e+00 3.728994487249693179e+01 -1.855288883764562691e+00
1.937710657564964967e+00 1.753735430087860925e+00 3.762142081206852140e+01 -1.854704600773855017e+00
1.860023618515555199e+00 1.467934132388704516e+00 3.776238409085517134e+01 -1.843176737481509342e+00
2.078513628447476780e+00 1.727769235246990442e+00 3.791772664571226414e+01 -1.850248244529338670e+00
5.029340145968821396e-01 1.732003670304663956e+00 3.808037569669168221e+01 -1.850927643853791160e+00
2.143432979602979849e+00 1.543904941163541489e+00 3.813464469623492192e+01 -1.838238683306757881e+00
5.266667970183569469e-01 1.713719391373218714e+00 3.819325478449496813e+01 -1.848125530064172573e+00
3.144194020840600512e-01 1.445882141799094578e+00 3.824851695966400200e+01 -1.845699217280766913e+00
2.102788532015837042e+00 1.471252356211419476e+00 3.828610653317394963e+01 -1.842839771495612844e+00
2.094856359825629344e+00 1.462298541079382730e+00 3.848447206975435364e+01 -1.843774535422137983e+00
5.369285211468659558e-01 1.705363077781597347e+00 3.852187508483632428e+01 -1.846958629933174389e+00
5.734501001098092354e-01 1.537813019204152809e+00 3.866526945443322205e+01 -1.838421114354723329e+00
1.805118341976712504e+00 1.627607098393728080e+00 3.887928842246037675e+01 -1.839491667085525251e+00
1.802329326139844756e+00 1.611860048629951025e+00 3.889433250510042228e+01 -1.838720418088843456e+00
2.001372145528634849e+00 1.763002738561481264e+00 3.892016387622837215e+01 -1.856463585925755444e+00
2.863771648240966972e-01 1.463015875647371233e+00 3.897582421220077009e+01 -1.843696659692664941e+00
1.893111050808832685e+00 1.437263223108455445e+00 3.902130366580454535e+01 -1.846819233617904565e+00
2.119471797324728790e+00 1.483939511690162361e+00 3.923429370274524786e+01 -1.841653871932719344e+00
5.618086002509233845e-01 1.676964235116846336e+00 3.929711575828778081e+01 -1.843523498181189879e+00
1.812583553658418722e+00 1.659757061829041369e+00 3.947064918066453743e+01 -1.841839302938936829e+00
2.789187916981867299e-01 1.714966170933204692e+00 3.957957949435171940e+01 -1.848305740356201543e+00
1.876846417210842777e+00 1.443985155404107878e+00 3.959599626128918715e+01 -1.845939245946737195e+00
1.817832437036338122e+00 1.509027660656693914e+00 3.962775094010633836e+01 -1.839785964789410588e+00
2.537611241114834382e-01 1.684513897384623871e+00 3.968436010065214248e+01 -1.844356893294063937e+00
4.148692987486488071e-01 1.412786033637346783e+00 3.969327903709918104e+01 -1.850412988259336533e+00
2.714723894467226950e-01 1.472989156187065607e+00 3.975168667602166295e+01 -1.842667833314453718e+00
2.576486137221880579e-01 1.691501643683358314e+00 3.982009671311614341e+01 -1.845179712065659672e+00
5.732122851493051119e-01 1.520326266174596652e+00 3.988558442416252348e+01 -1.839151220983536117e+00
4.272508486215072510e-01 1.412777568043493748e+00 3.988745062619399562e+01 -1.850414337191850001e+00
4.393008333209929006e-01 1.413808115818899314e+00 4.002468873928711446e+01 -1.850250666656949372e+00
5.766410028040506175e-01 1.524742424641516658e+00 4.020414862834753933e+01 -1.838937922446566287e+00
2.066019333268866109e+00 1.432145797600165471e+00 4.022129945140962093e+01 -1.847520006585123831e+00
5.723523753709818251e-01 1.514333912416752081e+00 4.022691582102642371e+01 -1.839471916196351753e+00
2.160143339417936570e+00 1.578366040107515023e+00 4.038771445860746212e+01 -1.837905716962780156e+00
1.813017470195363856e+00 1.671577155276529725e+00 4.044056774809758537e+01 -1.842964074133818242e+00
1.867006528049096392e+00 1.735762576494397358e+00 4.054894225661512763e+01 -1.851546165986024395e+00
1.794289182146786787e+00 1.561403299073370832e+00 4.080972104771138476e+01 -1.837921181542945259e+00
2.230187130500968784e-01 1.557614331805122099e+00 4.104411891144177105e+01 -1.837963951421606623e+00
2.161342198883845711e+00 1.556453837542216334e+00 4.119269742625849773e+01 -1.837979923434801321e+00
5.505030573380895742e-01 1.711856662442512444e+00 4.153038122721721948e+01 -1.847859245953348051e+00
2.290668071717422150e-01 1.526932985215041283e+00 4.154306314477744877e+01 -1.838839371413986790e+00
5.280841492179293439e-01 1.734820120419985123e+00 4.168548686641098300e+01 -1.851389723046951374e+00
2.608911635411368390e-01 1.470843920033966468e+00 4.175712391802365175e+01 -1.842880647924501236e+00
2.112643219813647999e+00 1.457101852957940036e+00 4.187992257202515134e+01 -1.844354255677067789e+00
2.094658137496411943e+00 1.441282401128209933e+00 4.190289415669108308e+01 -1.846287547151960640e+00
5.023925614542081863e-01 1.753730674854556248e+00 4.190723064769694872e+01 -1.854703721031303099e+00
2.152530141511526995e+00 1.514641230931153659e+00 4.197639558098016010e+01 -1.839454593160795293e+00
1.801381123902029868e+00 1.517348798371537910e+00 4.199522253584562748e+01 -1.839306066106968007e+00
1.792131683375752349e+00 1.543109135743359506e+00 4.205072468502275029e+01 -1.838260405663998620e+00
1.792298576254341747e+00 1.540277673640569445e+00 4.217287031525219021e+01 -1.838342832812812411e+00
2.126287943576287809e+00 1.467650649514091299e+00 4.248345627955953319e+01 -1.843206041041991039e+00
2.587164067175053983e-01 1.467263868999619802e+00 4.259903343127978559e+01 -1.843246153468330206e+00
2.161039113677647450e+00 1.653523207635345882e+00 4.265738774764358965e+01 -1.841302845015175826e+00
3.646413149740510007e-01 1.403455265465720858e+00 4.276131096709602986e+01 -1.851944421457548895e+00
2.859145567430697588e-01 1.440268148431082862e+00 4.279028646983397266e+01 -1.846420169558002922e+00
1.990945197274059719e+00 1.783032789360670778e+00 4.294005051334633549e+01 -1.860570366136988785e+00
1.781304471126183842e+00 1.592970001626142995e+00 4.297797392069962541e+01 -1.838122922484849209e+00
1.933286334529023209e+00 1.779733409032145719e+00 4.323919663461761331e+01 -1.859865103289856325e+00
3.521653240090976689e-01 1.404123073608737338e+00 4.328965587131021664e+01 -1.851831844116182957e+00
2.133401145756509187e+00 1.711466020415480571e+00 4.338019519923554412e+01 -1.847803851274174569e+00
4.847014002248841158e-01 1.771422091508346508e+00 4.359591860215599013e+01 -1.858138892102335626e+00
2.161957129812361877e-01 1.649856882703358174e+00 4.368728676166907121e+01 -1.841005613400450436e+00
4.032501368042304968e-01 1.394155136418128826e+00 4.374021589912710795e+01 -1.853559933966180573e+00
3.012201183397660298e-01 1.758003176907112497e+00 4.383468933588324035e+01 -1.855503589847443902e+00
1.984782596071238636e+00 1.788553338849210972e+00 4.403267835225693716e+01 -1.861775901645039699e+00
1.785450255734915892e+00 1.530073611762437835e+00 4.412861454707591236e+01 -1.838706465444713611e+00
4.570970514320138456e-01 1.783193137940067841e+00 4.413637692414473435e+01 -1.860604931762951164e+00
4.338027686702092822e-01 1.393548344687551621e+00 4.418947796294335006e+01 -1.853668437242322220e+00
4.206822679478399163e-01 1.392266508091160704e+00 4.420840014479343694e+01 -1.853898897855011274e+00
4.744076596132519308e-01 1.778819575817256693e+00 4.427448084161410691e+01 -1.859671778132848452e+00
2.176073242732166513e+00 1.629435070505080185e+00 4.431463529805611046e+01 -1.839597303720494015e+00
2.157801698643439625e+00 1.685824780341434792e+00 4.465926892692350947e+01 -1.844507480139566669e+00
1.939803126279513679e+00 1.393488331387196189e+00 4.467428049136152879e+01 -1.853679189151363538e+00
1.845553665093876639e+00 1.744326744385160444e+00 4.469011486804337352e+01 -1.853009646808921662e+00
6.073675073885014264e-01 1.549921565640409060e+00 4.479254994468619344e+01 -1.838094960061395167e+00
2.661705616305337641e-01 1.443518927458742551e+00 4.495231967884669899e+01 -1.845998798285801712e+00
1.783746803361527800e+00 1.520383559838420773e+00 4.511172106075186861e+01 -1.839148328556612588e+00
2.179558984663967358e-01 1.674483053900113649e+00 4.515288439842755963e+01 -1.843262194690373779e+00
2.088354672183896921e-01 1.527234159866803109e+00 4.542621140552952141e+01 -1.838826197848573596e+00
5.454283833867146214e-01 1.435670317668075846e+00 4.563004595444377998e+01 -1.847034504317809134e+00
5.749367828565015159e-01 1.716399574496067171e+00 4.592575782522910544e+01 -1.848514886811060354e+00
5.965541644432477142e-01 1.499910826921140750e+00 4.594659432385629572e+01 -1.840391550291875511e+00
1.768187384199903622e+00 1.618059152417290925e+00 4.596137871550003950e+01 -1.838994369812553931e+00
2.179024147581980486e+00 1.652531778972701426e+00 4.599737528509080420e+01 -1.841221134415201632e+00
1.788237799597000244e+00 1.683273967444312458e+00 4.600723181452683974e+01 -1.844216059182893552e+00
2.060361378954555178e+00 1.398771736103334051e+00 4.610087638031230739e+01 -1.852746853552161843e+00
1.991024743001130082e+00 1.382561461076114995e+00 4.626563482060874577e+01 -1.855698869066277457e+00
5.499812834393202898e-01 1.746672404449357341e+00 4.637783656068837956e+01 -1.853423662113946602e+00
2.473930124631436023e-01 1.730419300954753048e+00 4.645973155650730746e+01 -1.850671284186885313e+00
5.948473116631272095e-01 1.490652566728272177e+00 4.648263179917378096e+01 -1.841092021382772614e+00
2.183965510394080267e-01 1.690317228358227952e+00 4.649222843947659811e+01 -1.845036760115847052e+00
2.191102742719386764e+00 1.595213103379154340e+00 4.654318633428366780e+01 -1.838175185522552546e+00
1.767638809855715198e+00 1.639310267224800555e+00 4.682993279658404617e+01 -1.840225984989365182e+00
2.115748043816874091e+00 1.755182861312104992e+00 4.701479374037673153e+01 -1.854973470110715672e+00
4.640667195668258249e-01 1.384555436616736968e+00 4.724785610791332147e+01 -1.855321096179876283e+00
5.166934557472067091e-01 1.776132181799136456e+00 4.729015005465596033e+01 -1.859108302222746367e+00
5.026131439992178596e-01 1.783529353821470487e+00 4.730703624317342104e+01 -1.860677495677170779e+00
2.087450064839102115e+00 1.776698187328889844e+00 4.738403604469640129e+01 -1.859226352025108664e+00
2.023623709896592571e-01 1.516164389366247756e+00 4.738951576037898406e+01 -1.839370133638253968e+00
6.156822316207657408e-01 1.523068367414678104e+00 4.773314534645494689e+01 -1.839016478149933853e+00
1.767796602209944279e+00 1.525321329688121175e+00 4.777751132400354095e+01 -1.838911410663768509e+00
1.994753394401884261e+00 1.807370134587737098e+00 4.798815880724598770e+01 -1.866125639783460244e+00
1.777303182184631902e+00 1.496881820612612657e+00 4.817128956570950038e+01 -1.840611234504544447e+00
4.512777839461356022e-01 1.804928830124824968e+00 4.820779314707921515e+01 -1.865540221659997888e+00
1.874145587229660403e+00 1.398568244363127100e+00 4.822771037878139566e+01 -1.852782229902722344e+00
6.090285519376115175e-01 1.497382455406953916e+00 4.837364647092212522e+01 -1.840574288796025026e+00
2.395512469916566411e-01 1.446258969723245080e+00 4.842454608169621366e+01 -1.845651971881054454e+00
1.865668244431987421e+00 1.780838668621597343e+00 4.849377847800889185e+01 -1.860100091486451834e+00
2.044530296834174976e+00 1.800936237951003882e+00 4.849605003666476932e+01 -1.864596380273303877e+00
6.305524145591303586e-01 1.600397071799964266e+00 4.855289200874207012e+01 -1.838315232454528436e+00
2.169129207448332597e-01 1.710016228099601632e+00 4.873243235742064883e+01 -1.847599625378122390e+00
2.129769533553524496e+00 1.756129060346828252e+00 4.892778723090717108e+01 -1.855150404199309655e+00
6.308012966521342468e-01 1.620219303811275990e+00 4.892845267153492017e+01 -1.839098879265739894e+00
2.034018474126415121e+00 1.807330488771718313e+00 4.918131306838078842e+01 -1.866116082470398396e+00
2.066006658155749687e+00 1.797764742216879430e+00 4.930527339816731569e+01 -1.863858630167506636e+00
4.379724668211304461e-01 1.368894066738877369e+00 4.943731532505578485e+01 -1.858399330793881976e+00
1.822822526006226962e-01 1.540687912803296200e+00 4.971249608558500199e+01 -1.838330393203476909e+00
1.769807666539866764e+00 1.690708714755057684e+00 4.985891856302793457e+01 -1.845083852747986253e+00
1.781467268684880922e+00 1.471164752971571676e+00 4.995812638323766919e+01 -1.842848524663432075e+00
1.856442104101052593e+00 1.785020956201199827e+00 5.012626009308615238e+01 -1.861000848328950408e+00
2.100081894160619633e+00 1.785804571162919352e+00 5.016946030759811492e+01 -1.861171655549640480e+00
1.810303922802003695e+00 1.749480531373000192e+00 5.017060128675534969e+01 -1.853926769257165041e+00
1.737957480483426354e-01 1.580607777307504236e+00 5.023520106963820808e+01 -1.837925199462184800e+00
